PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
SDV8E51,Pesado,SPRINTER 516 FURGÃO E.L.T. ALTO 2.2 DIES,MB SPRINTER CHASSI,MB SPRINTER ,2022,3.0
SDV8E52,Pesado,SPRINTER 516 FURGÃO E.L.T. ALTO 2.2 DIES,MB SPRINTER CHASSI,MB SPRINTER ,2022,3.0
SDV9C11,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDW2F01,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDW2F31,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDW2F35,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDW2G32,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDW2G37,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDW8B50,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4,2023,2.0
SDX2J10,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2023,2.0
SDX2J11,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2022,3.0
SDX2J13,Médio,PARTNER RAPID BUSIN. PACK 1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2023,2.0
SDX2J14,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2022,3.0
SDX2J15,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2023,2.0
SDY6E93,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170 ,CAMINHÃO 3/4,2023,2.0
SDY6E95,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170 ,CAMINHÃO 3/4,2023,2.0
SEB8G64,Leve,ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,ONIX 1 0,GM ONIX ,2023,2.0
SEC0B48,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SEC0C40,Médio,STRADA FREEDOM 1.3 FLEX 8V CD,FIAT STRADA ,FIAT STRADA ,2022,4.0
SEC1E87,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
SEC1F48,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL ,2023,2.0
